customer_id,name,email,purchase_amount,purchase_date,region,purchase_amount_rounded,customer_tier,extraction_timestamp,discount_eligible
61,Customer_61,customer_61@example.com,553.0147545298232,2026-05-22,South,553.01,Premium,2026-05-22T11:58:19.566353,True
62,Customer_62,customer_62@example.com,579.0295878450532,2026-05-22,East,579.03,Premium,2026-05-22T11:58:19.566353,True
63,Customer_63,customer_63@example.com,929.1670633362762,2026-05-22,East,929.17,Premium,2026-05-22T11:58:19.566353,True
64,Customer_64,customer_64@example.com,478.5547712645652,2026-05-22,North,478.55,Standard,2026-05-22T11:58:19.566353,True
65,Customer_65,customer_65@example.com,960.2050808454193,2026-05-22,South,960.21,Premium,2026-05-22T11:58:19.566353,True
66,Customer_66,customer_66@example.com,560.5854772273364,2026-05-22,South,560.59,Premium,2026-05-22T11:58:19.566353,True
67,Customer_67,customer_67@example.com,175.17097256920255,2026-05-22,West,175.17,Standard,2026-05-22T11:58:19.566353,False
68,Customer_68,customer_68@example.com,756.9479376158008,2026-05-22,West,756.95,Premium,2026-05-22T11:58:19.566353,True
69,Customer_69,customer_69@example.com,665.3670855446743,2026-05-22,South,665.37,Premium,2026-05-22T11:58:19.566353,True
70,Customer_70,customer_70@example.com,175.38472028802977,2026-05-22,South,175.38,Standard,2026-05-22T11:58:19.566353,False
71,Customer_71,customer_71@example.com,905.9421980851848,2026-05-22,North,905.94,Premium,2026-05-22T11:58:19.566353,True
72,Customer_72,customer_72@example.com,21.946107573994954,2026-05-22,South,21.95,Basic,2026-05-22T11:58:19.566353,False
73,Customer_73,customer_73@example.com,988.3961241250781,2026-05-22,East,988.4,Premium,2026-05-22T11:58:19.566353,True
74,Customer_74,customer_74@example.com,144.2402951643559,2026-05-22,South,144.24,Standard,2026-05-22T11:58:19.566353,False
75,Customer_75,customer_75@example.com,746.5014829431054,2026-05-22,West,746.5,Premium,2026-05-22T11:58:19.566353,True
76,Customer_76,customer_76@example.com,395.94814085395643,2026-05-22,West,395.95,Standard,2026-05-22T11:58:19.566353,True
77,Customer_77,customer_77@example.com,266.2884294322518,2026-05-22,West,266.29,Standard,2026-05-22T11:58:19.566353,True
78,Customer_78,customer_78@example.com,303.2041997589833,2026-05-22,North,303.2,Standard,2026-05-22T11:58:19.566353,True
79,Customer_79,customer_79@example.com,80.99126678390617,2026-05-22,West,80.99,Basic,2026-05-22T11:58:19.566353,False
80,Customer_80,customer_80@example.com,993.5066889608574,2026-05-22,South,993.51,Premium,2026-05-22T11:58:19.566353,True
81,Customer_81,customer_81@example.com,306.65074945034087,2026-05-22,West,306.65,Standard,2026-05-22T11:58:19.566353,True
82,Customer_82,customer_82@example.com,928.9739964283987,2026-05-22,East,928.97,Premium,2026-05-22T11:58:19.566353,True
83,Customer_83,customer_83@example.com,534.3062943177672,2026-05-22,South,534.31,Premium,2026-05-22T11:58:19.566353,True
84,Customer_84,customer_84@example.com,50.492462892349664,2026-05-22,East,50.49,Basic,2026-05-22T11:58:19.566353,False
85,Customer_85,customer_85@example.com,15.888549041681813,2026-05-22,North,15.89,Basic,2026-05-22T11:58:19.566353,False
86,Customer_86,customer_86@example.com,286.79637930593765,2026-05-22,North,286.8,Standard,2026-05-22T11:58:19.566353,True
87,Customer_87,customer_87@example.com,593.0284186427125,2026-05-22,West,593.03,Premium,2026-05-22T11:58:19.566353,True
88,Customer_88,customer_88@example.com,566.9510639788165,2026-05-22,East,566.95,Premium,2026-05-22T11:58:19.566353,True
89,Customer_89,customer_89@example.com,482.84052412401235,2026-05-22,East,482.84,Standard,2026-05-22T11:58:19.566353,True
90,Customer_90,customer_90@example.com,521.5968557930061,2026-05-22,East,521.6,Premium,2026-05-22T11:58:19.566353,True
91,Customer_91,customer_91@example.com,939.9877601012449,2026-05-22,West,939.99,Premium,2026-05-22T11:58:19.566353,True
92,Customer_92,customer_92@example.com,625.3146220016815,2026-05-22,West,625.31,Premium,2026-05-22T11:58:19.566353,True
93,Customer_93,customer_93@example.com,370.681144521698,2026-05-22,East,370.68,Standard,2026-05-22T11:58:19.566353,True
94,Customer_94,customer_94@example.com,693.2292449255172,2026-05-22,West,693.23,Premium,2026-05-22T11:58:19.566353,True
95,Customer_95,customer_95@example.com,912.3229764810253,2026-05-22,North,912.32,Premium,2026-05-22T11:58:19.566353,True
96,Customer_96,customer_96@example.com,635.1307750554024,2026-05-22,South,635.13,Premium,2026-05-22T11:58:19.566353,True
97,Customer_97,customer_97@example.com,746.0531517110919,2026-05-22,West,746.05,Premium,2026-05-22T11:58:19.566353,True
98,Customer_98,customer_98@example.com,776.526177108671,2026-05-22,West,776.53,Premium,2026-05-22T11:58:19.566353,True
99,Customer_99,customer_99@example.com,834.7886212178717,2026-05-22,East,834.79,Premium,2026-05-22T11:58:19.566353,True
100,Customer_100,customer_100@example.com,328.2667393751046,2026-05-22,East,328.27,Standard,2026-05-22T11:58:19.566353,True
